Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,rsi,macd,ema,williams_r,roc,adx,shortName,sector,industry,marketCap,forwardPE,trailingPE,priceToBook,fiftyTwoWeekHigh,fiftyTwoWeekLow,dividendYield,returnOnEquity,earningsQuarterlyGrowth,grossMargins
2022-07-29 00:00:00-04:00,158.6940186370959,161.0462798301135,156.981487908036,159.94395446777344,101786900,0.0,0.0,70.16624652876517,4.028438420810829,150.45374349096545,-5.206927996783872,11.698385320639478,18.709393632721365,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2022-08-01 00:00:00-04:00,158.4676575395611,161.00692131549803,158.34955713719083,158.9597625732422,67829400,0.0,0.0,68.06278639249605,4.342806360614134,151.58787936860236,-9.85584246879041,8.782924768581728,20.321659492489363,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2022-08-02 00:00:00-04:00,157.57204979903847,159.84557282503414,157.10946983070068,157.48345947265625,59907000,0.0,0.0,64.9189636566295,4.421847589067255,152.37395671580956,-17.76241230516544,6.552587546973032,21.356443617525507,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2022-08-03 00:00:00-04:00,158.30034109572696,163.95954889245084,158.21176579536746,163.50682067871094,82507500,0.0,0.0,70.83757723897249,4.91387910256546,153.85833857752974,-2.3126744137085744,12.959830338611216,22.97226924523986,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2022-08-04 00:00:00-04:00,163.3887030177202,164.55007867195602,161.8336493553877,163.19186401367188,55474100,0.0,0.0,70.17092194302093,5.218250507638544,155.10280863568204,-6.735007857095752,9.807951576227511,24.557832341600264,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2022-08-05 00:00:00-04:00,160.85607517425956,163.45799860304652,160.64909732753878,162.9652099609375,56697000,0.23,0.0,69.66283719098658,5.379170225268126,156.15112881238275,-7.940308935874228,8.193744629612707,25.57441924518112,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2022-08-08 00:00:00-04:00,163.97046163622954,165.38969510382904,161.83176107750737,162.49209594726562,60276900,0.0,0.0,68.54711728632815,5.406204553086525,156.9965910970338,-16.65858472901307,6.275505825198148,26.83166688303786,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2022-08-09 00:00:00-04:00,161.65436841608152,163.42841029450733,160.89546979944944,162.5413818359375,63135500,0.0,0.0,68.60352991132956,5.369707763401408,157.73589652888762,-16.78358427090998,7.177028486200003,27.630403358232567,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2022-08-10 00:00:00-04:00,165.26155937141485,166.89762095148,164.49281044366623,166.799072265625,70170500,0.0,0.0,73.09319687949043,5.619564982245379,158.94431996045262,-0.533308063461485,10.80421093433159,28.928935753016088,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2022-08-11 00:00:00-04:00,167.6072543726192,168.52384897861626,165.76422984138568,166.05990600585938,57149200,0.0,0.0,71.18990901303695,5.692316606119107,159.89306476650685,-12.2553850199562,11.295552023954889,30.36579753572309,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
